15×8 DataFrame
 Row │ parameters  mean        std       naive_se    mcse        ess      rhat      ess_per_sec
     │ Symbol      Float64     Float64   Float64     Float64     Float64  Float64   Float64
─────┼──────────────────────────────────────────────────────────────────────────────────────────
   1 │ α           70.7424     6.88104   0.0769323   0.150624    1911.68  1.00271      12.3891
   2 │ σ            5.87842    0.259295  0.00289901  0.00357963  7265.38  1.00031      47.0851
   3 │ τₐ           6.33159    5.97018   0.0667486   0.139695    2076.92  1.00164      13.46
   4 │ τᵦ[1]        5.87079    5.05058   0.0564672   0.141629    1510.25  1.00609       9.78753
   5 │ τᵦ[2]        6.38364    5.12774   0.0573299   0.144973    1389.9   1.00386       9.00758
   6 │ αⱼ[1]       -3.51596    4.90661   0.0548575   0.114487    1531.76  1.00382       9.92698
   7 │ αⱼ[2]        3.67287    4.91311   0.0549302   0.11625     1531.99  1.00373       9.92843
   8 │ βⱼ[1,1]      0.250291   0.820403  0.00917238  0.0135519   3918.7   1.0002       25.3962
   9 │ βⱼ[2,1]     -0.894184   1.05906   0.0118407   0.022227    2355.44  1.00163      15.2651
  10 │ βⱼ[3,1]      0.553263   0.90569   0.0101259   0.0172549   2933.1   1.00166      19.0087
  11 │ βⱼ[4,1]      0.102703   0.784302  0.00876876  0.0122931   4259.93  0.99983      27.6076
  12 │ βⱼ[1,2]      0.281993   0.789107  0.00882248  0.0122036   4537.0   1.00088      29.4032
  13 │ βⱼ[2,2]     -0.961893   1.01645   0.0113643   0.022575    2154.45  1.0022       13.9625
  14 │ βⱼ[3,2]      0.594892   0.882561  0.00986734  0.0162648   2884.22  1.00105      18.6919
  15 │ βⱼ[4,2]      0.0897769  0.764437  0.00854666  0.0110824   4597.19  0.999917     29.7933
